status,dataset_model,sample_index,image_id,comparison,metric,difference
local_rerun_traceable,coco_openai_b32,0,490567,wf_minus_mean,margin_norm,0.0
local_rerun_traceable,coco_openai_b32,0,490567,wf_minus_mean,target_drop_raw,0.0
local_rerun_traceable,coco_openai_b32,0,490567,wf_minus_mean,target_drop_norm,0.0
local_rerun_traceable,coco_openai_b32,0,490567,wf_minus_mean,bbox_precision,0.0
local_rerun_traceable,coco_openai_b32,0,490567,wf_minus_max_0_1,margin_norm,0.0
local_rerun_traceable,coco_openai_b32,0,490567,wf_minus_max_0_1,target_drop_raw,0.0
local_rerun_traceable,coco_openai_b32,0,490567,wf_minus_max_0_1,target_drop_norm,0.0
local_rerun_traceable,coco_openai_b32,0,490567,wf_minus_max_0_1,bbox_precision,0.0
local_rerun_traceable,coco_openai_b32,1,283217,wf_minus_mean,margin_norm,0.0
local_rerun_traceable,coco_openai_b32,1,283217,wf_minus_mean,target_drop_raw,0.0
local_rerun_traceable,coco_openai_b32,1,283217,wf_minus_mean,target_drop_norm,0.0
local_rerun_traceable,coco_openai_b32,1,283217,wf_minus_mean,bbox_precision,0.0
local_rerun_traceable,coco_openai_b32,1,283217,wf_minus_max_0_1,margin_norm,0.0
local_rerun_traceable,coco_openai_b32,1,283217,wf_minus_max_0_1,target_drop_raw,0.0
local_rerun_traceable,coco_openai_b32,1,283217,wf_minus_max_0_1,target_drop_norm,0.0
local_rerun_traceable,coco_openai_b32,1,283217,wf_minus_max_0_1,bbox_precision,0.0
local_rerun_traceable,coco_openai_b32,2,497801,wf_minus_mean,margin_norm,0.0
local_rerun_traceable,coco_openai_b32,2,497801,wf_minus_mean,target_drop_raw,0.0
local_rerun_traceable,coco_openai_b32,2,497801,wf_minus_mean,target_drop_norm,0.0
local_rerun_traceable,coco_openai_b32,2,497801,wf_minus_mean,bbox_precision,0.0
local_rerun_traceable,coco_openai_b32,2,497801,wf_minus_max_0_1,margin_norm,0.0
local_rerun_traceable,coco_openai_b32,2,497801,wf_minus_max_0_1,target_drop_raw,0.0
local_rerun_traceable,coco_openai_b32,2,497801,wf_minus_max_0_1,target_drop_norm,0.0
local_rerun_traceable,coco_openai_b32,2,497801,wf_minus_max_0_1,bbox_precision,0.0
local_rerun_traceable,coco_openai_b32,3,323925,wf_minus_mean,margin_norm,0.0
local_rerun_traceable,coco_openai_b32,3,323925,wf_minus_mean,target_drop_raw,0.0
local_rerun_traceable,coco_openai_b32,3,323925,wf_minus_mean,target_drop_norm,0.0
local_rerun_traceable,coco_openai_b32,3,323925,wf_minus_mean,bbox_precision,0.0
local_rerun_traceable,coco_openai_b32,3,323925,wf_minus_max_0_1,margin_norm,0.0
local_rerun_traceable,coco_openai_b32,3,323925,wf_minus_max_0_1,target_drop_raw,0.0
local_rerun_traceable,coco_openai_b32,3,323925,wf_minus_max_0_1,target_drop_norm,0.0
local_rerun_traceable,coco_openai_b32,3,323925,wf_minus_max_0_1,bbox_precision,0.0
local_rerun_traceable,coco_openai_b32,4,387990,wf_minus_mean,margin_norm,0.0
local_rerun_traceable,coco_openai_b32,4,387990,wf_minus_mean,target_drop_raw,0.0
local_rerun_traceable,coco_openai_b32,4,387990,wf_minus_mean,target_drop_norm,0.0
